episodes,episode_length,returns,average_reward,round_time,episodes_test,episode_length_test,returns_test,average_reward_test,round_time_test,round_time_total,loss_total,loss_critic,loss_actor,memory_size,reward_mean,reward_std,reward_min,reward_max,reward_corr,value_target_mean,value_target_std,q_value_mean,q_value_std,td_error_mean,td_error_std,learning_rate,gradient_norm_actor,gradient_norm_critic,actor_param_norm_before,actor_param_norm_after,critic_param_norm_before,critic_param_norm_after,actor_grad_var,critic_grad_var,critic_agreement_ratio,entropy_log_probs_mean,entropy_traj_start,entropy_traj_end,entropy_traj_delta,entropy_traj_mean,entropy_traj_std,actor_output_mean,actor_output_std,actor_entropy_first_mean,actor_entropy_first_std,loss_total_delta,critic_disagreement_mean,critic_disagreement_std,critic_disagreement_max,critic_disagreement_min,critic_disagreement_median,critic_disagreement_q25,critic_disagreement_q75,critic_var_top5_mean,model_val_mean,target_val_mean,critic_value_drift,avg_action_change,obs_delay_mean,act_delay_mean,nstep_len_mean,nstep_len_std,is_rtac,iteration_time
0,,,,0 days 00:00:00.196734,0.0,,,2.1238038327954853e-97,0 days 00:00:00.257877,0 days 00:00:01.200967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.646604,0.0,,,3.7452738967052434e-93,0 days 00:00:00.268475,0 days 00:00:01.221574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.478061,1.0,1000.0,1.7716431017653e-97,1.7716431017652999e-100,0 days 00:00:00.258065,0 days 00:00:01.197171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.449279,0.0,,,4.616660711979787e-92,0 days 00:00:00.256967,0 days 00:00:01.155925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.454962,1.0,1000.0,1.6817376833423374e-96,1.6817376833423373e-99,0 days 00:00:00.260267,0 days 00:00:01.150431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.459194,1.0,1000.0,1.5935643162584477e-98,1.5935643162584477e-101,0 days 00:00:00.257394,0 days 00:00:01.154177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.456745,1.0,1000.0,1.6062765953330835e-89,1.6062765953330835e-92,0 days 00:00:00.255697,0 days 00:00:01.165463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.462807,1.0,1000.0,3.306427311376594e-87,3.306427311376594e-90,0 days 00:00:00.264781,0 days 00:00:01.170854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.465687,1.0,1000.0,1.2414139059769843e-87,1.2414139059769842e-90,0 days 00:00:00.258444,0 days 00:00:01.160087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0 days 00:00:00.465147,0.0,,,7.242696691870794e-95,0 days 00:00:00.257684,0 days 00:00:01.184433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000.0,1.2372206287540325e-18,1.2372206287540324e-21,0 days 00:00:16.212899,0.0,,,2.0088630808951073e-92,0 days 00:00:00.271116,0 days 00:00:16.213451,-0.6633808423297196,2.787053421208386,-14.465117769856606,561.5,1.4909163275652848e-22,9.204754065514735e-22,0.0,1.1478017921561443e-20,0.50527305841042,10.568337687149576,0.9897498807736805,10.377764153766364,0.49193599848462966,-0.19057355612979918,0.9306662351854386,0.0003,0.13420456016118626,4.379525613880927,22.202281573041564,22.202281573041564,47.51964538314656,47.51964538314656,2.724211145821033e-07,0.00027505238482631764,0.0,-1.3531103507714337,1.3534373073808608,1.3533062082007183,-0.000131099180142451,1.3532911035047699,0.006689560927143793,0.004313934850560132,0.6121692553780596,,,-0.03740035279005903,0.02518469490452073,0.033011400240606496,0.18551714782933554,7.340614301438004e-05,0.013214914681827693,0.00394490456226961,0.032240406149775136,0.14058479919282865,10.311781955861449,6.31913516564089,3.992646809057912,1.1087566604995143,,,1.420191892281106,0.9082894329376484,0.0,0.014938131730127993
0,,,0.00025800610618067403,0 days 00:00:19.213991,1.0,1000.0,4.0655972277546196e-157,4.06559722775462e-160,0 days 00:00:00.296931,0 days 00:00:19.214491,-4.527725031614303,1.9540085117816925,-30.45465896987915,1491.51,0.00014716422381852047,0.0007451783720642125,0.0,0.007217808281110987,0.5331075122541515,26.78590679168701,1.0107219120264053,26.776941972732544,0.5194220214784145,-0.008964809291064739,0.922453200161457,0.0003,0.1068592683672905,8.028259724140167,22.25235531145148,22.25235531145148,53.581891139931976,53.581891139931976,1.6879136803638062e-07,0.0006149509440465409,0.0,-1.3557867077589034,1.3559338607788085,1.3559766000509261,4.273927211761475e-05,1.3559672521352768,0.006289560425619129,0.0017520217160927132,0.610825543820858,,,-0.003460376739501953,0.028298385543748736,0.0436736230449751,0.2904646117389202,5.495995847013546e-06,0.012238971455488353,0.0027641050562961025,0.03536913570761681,0.1845757201872766,26.67325817680359,22.91189558506012,3.7613625202178955,1.110728720208009,,,1.414234375,0.884394102871418,0.0,0.015060917854309082
0,,,5.311714022124928e-12,0 days 00:00:19.313443,0.0,,,3.967892985164775e-178,0 days 00:00:00.287071,0 days 00:00:19.313952,-6.84271635389328,3.0916933468580248,-46.58035439300537,2487.514,0.00010048248949307848,0.0006401644604824525,0.0,0.007402826834003463,0.5350540399168967,43.33442461776733,1.1417881456017493,43.328912170410156,0.6301579561531544,-0.005512452945113182,1.0037661868333816,0.0003,0.10761072748526931,14.088954438209534,22.376320429436863,22.376320429436863,59.42938565454166,59.42938565454166,1.7330782113944565e-07,0.0019809635197561874,0.0,-1.36045532810688,1.3611272916793824,1.3612378945350647,0.00011060285568237304,1.3610860365629196,0.005589532089070417,0.0011913022120133973,0.6029530832767487,,,0.01701939058303833,0.045782849421724676,0.069077626042068,0.4391312497705221,8.678659796714782e-06,0.019910472387447954,0.004478117295890116,0.05735721486248076,0.29676173913478854,43.17508074951172,39.847650337219235,3.327430320739746,1.0920032598177591,,,1.417125,0.8800064282417297,0.0,0.015074282884597778
0,,,1.6531511670890414e-16,0 days 00:00:19.252220,0.0,,,3.432121914382102e-110,0 days 00:00:00.276428,0 days 00:00:19.252732,-8.361691053390503,4.838826643466949,-61.163761222839355,3483.518,7.362862099732848e-05,0.0005378877625916285,0.0,0.006857311492618265,0.5422153751372243,58.347069232940676,1.4779444369673729,58.341995132446286,1.019769286453724,-0.005074232563376427,1.1439506143927574,0.0003,0.11531959829106928,19.825911079645156,22.550733437851072,22.550733437851072,64.88029793249257,64.88029793249257,2.012230270693749e-07,0.003981751143095608,0.0,-1.3615537300109863,1.3612307171821594,1.3614394552707672,0.00020873808860778808,1.3612795462608338,0.005294110611546785,-0.010964227021555415,0.5961600703597069,,,-0.02285537338256836,0.070739198602736,0.10753474642336369,0.7088102751970291,1.4097225604928098e-05,0.031130614808760584,0.007048891052254476,0.08872735124453902,0.457377100199461,58.11988802337647,55.23302501296997,2.886862942457199,1.0766288841366767,,,1.4066796875,0.8853727533221245,0.0,0.015006911993026733
0,,,2.6520764258746263e-102,0 days 00:00:19.231605,1.0,1000.0,5.372441153756413e-67,5.3724411537564124e-70,0 days 00:00:00.293218,0 days 00:00:19.232097,-8.907177062034608,7.366724112212658,-74.00278131103515,4479.522,5.9279396575177265e-05,0.00047119423068777187,0.0,0.0063295093687278075,0.539673363974609,71.54538011169434,1.7465933640599252,71.54025061798096,1.2175729234814643,-0.005129489675164222,1.324993670284748,0.0003,0.1154891832396388,27.432976111888884,22.857566378725693,22.857566378725693,70.04962900365517,70.04962900365517,2.0075473337755057e-07,0.007893252521535032,0.0,-1.3605851961374282,1.3603815896511078,1.3605560071468352,0.00017441749572753905,1.3604031265974046,0.005320463380718138,-0.011679488655005116,0.594226931810379,,,-0.00230419921875,0.09815427996590734,0.15420089971274137,1.0347595156431197,1.7728555045323447e-05,0.041630654722452164,0.009530895072268323,0.12015693983435631,0.6518077903091908,71.28283409881591,68.7646682472229,2.5181742610931397,1.0725267383058867,,,1.392109375,0.8878755558729172,0.0,0.014960935592651367
0,,,5.175087928708557e-64,0 days 00:00:19.523820,1.0,1000.0,3.3184939108150125e-20,3.3184939108150133e-23,0 days 00:00:00.266997,0 days 00:00:19.524322,-9.185377304077148,9.784260023474694,-85.06392529296875,5475.526,4.634928681362011e-05,0.0004054458439270866,0.0,0.005783253421860051,0.5453161326846457,82.90199351501465,1.9525482892990111,82.89860039520264,1.3623770579099654,-0.0033929206132888795,1.4718121542334557,0.0003,0.11406219689548015,35.44889010000229,23.215561954863368,23.215561954863368,75.40489693553933,75.40489693553933,1.9421691981591494e-07,0.01346205986282439,0.0,-1.3595150476694107,1.3594539604187013,1.359476391673088,2.2431254386901856e-05,1.359545979976654,0.005694315932574682,-0.01505140809493605,0.5949264315366745,,,-0.0018580503463745117,0.12575741937756538,0.21350544165074825,1.554305003941059,2.1521985647268593e-05,0.0525321912933141,0.011866152709117159,0.15268513547629117,0.8702426615357399,82.61239631652832,80.397068649292,2.215328045606613,1.077443311194579,,,1.395390625,0.8825004511475563,0.0,0.015170157432556152
0,,,6.812412784211229e-120,0 days 00:00:19.590444,1.0,1000.0,9.597502698311612e-95,9.597502698311613e-98,0 days 00:00:00.298057,0 days 00:00:19.590968,-8.538896074295044,13.070899579763413,-94.97807762145996,6471.53,3.92792491881491e-05,0.00035857276024987606,0.0,0.00522120136819751,0.5541376865641505,93.10740776824952,2.3951690365076064,93.10373884582519,1.7153219224214553,-0.0036687991619110106,1.6940078196525574,0.0003,0.12054957772046328,43.650489945411685,23.606634454756975,23.606634454756975,80.70393472456188,80.70393472456188,2.1688827791521704e-07,0.01996958675989299,0.0,-1.3581716375350952,1.3582377576828002,1.3586740515232085,0.0004362938404083252,1.358468371629715,0.005930354555370286,-0.011253709618700668,0.5948312230706215,,,-0.0012640342712402343,0.16784077720344068,0.32195878613740203,2.544840004384518,3.132396689034067e-05,0.06828164532594383,0.015943601850885898,0.19967669536173344,1.2355707175135613,92.76960722351075,90.85274367523193,1.9169972276687621,1.074979224741459,,,1.396125,0.8766404331326485,0.0,0.01515409541130066
